Block,Cage,Hour,Minute,Time,z,x,y,Perch,Beh,Disturbed,Observer,Notes,Animal
3,B,18,0,18,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,18,0,18,32,26,14,Cage,Sit,NA,Rob,NA,MEFE
3,D,18,0,18,29,23,8,GR,Walk,NA,Rob,NA,MEFE
3,E,18,0,18,76,26,12,GR,Sit,NA,Rob,NA,MEFE
3,A,18,30,18.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,18,30,18.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,18,30,18.5,32,26,14,Cage,Sit,NA,Rob,NA,MEFE
3,D,18,30,18.5,42,22,10,GR,Sit,NA,Rob,NA,MEFE
3,E,18,30,18.5,76,26,12,GR,Sit,NA,Rob,NA,MEFE
3,A,19,0,19,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,19,0,19,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,19,0,19,32,26,14,Cage,Sit,NA,Rob,NA,MEFE
3,D,19,0,19,41,23,11,GR,Sit,NA,Rob,NA,MEFE
3,E,19,0,19,75,28,12,GR,Eat,NA,Rob,NA,MEFE
3,A,7,0,7,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,7,0,7,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,7,0,7,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,D,7,0,7,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,7,0,7,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,7,30,7.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,7,30,7.5,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,7,30,7.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,D,7,30,7.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,7,30,7.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,8,0,8,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,8,0,8,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,8,0,8,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,8,0,8,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,8,0,8,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,8,30,8.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,8,30,8.5,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,8,30,8.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,8,30,8.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,8,30,8.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,9,0,9,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,9,0,9,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,9,0,9,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,9,0,9,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,9,0,9,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,9,30,9.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,9,30,9.5,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,9,30,9.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,9,30,9.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,9,30,9.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,10,0,10,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,10,0,10,14,7,8,Grass,Sit,NA,Rob,NA,PIMI
3,C,10,0,10,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,10,0,10,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,10,0,10,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,10,30,10.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,10,30,10.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,C,10,30,10.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,10,30,10.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,10,30,10.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,11,0,11,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,11,0,11,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,11,0,11,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,11,0,11,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,11,0,11,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,11,30,11.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,11,30,11.5,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,11,30,11.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,11,30,11.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,11,30,11.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,12,0,12,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,12,0,12,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,12,0,12,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,12,0,12,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,12,0,12,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,12,30,12.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,12,30,12.5,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,12,30,12.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,12,30,12.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,12,30,12.5,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,13,0,13,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,13,0,13,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,13,0,13,79,18,0,GR,Sit,NA,Rob,NA,PIMI
3,D,13,0,13,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,E,13,0,13,NA,NA,NA,NA,NA,NA,Rob,NA,GLGU
3,A,13,30,13.5,NA,NA,NA,NA,NA,NA,Rob,NA,PIMI
3,B,13,30,13.5,22,10,10,GR,Sit,NA,Rob,NA,PIMI
3,C,13,30,13.5,79,18,0,GR,Sit,NA,Rob,NA,PIMI
